,Predicted R_t
1004,0.022411872
1005,0.061298836
1006,0.049164753
1007,0.029556587
1008,-0.0067367773
1009,-0.030163806
1010,-0.043840088
1011,-0.039425652
1012,-0.034986954
1013,-0.025535308
1014,-0.01628528
1015,-0.019870266
1016,0.0025725048
1017,-0.01114791
1018,0.03659186
1019,0.047706153
1020,0.038794346
1021,0.026892932
1022,0.025737695
1023,-0.0046490827
1024,0.010704453
1025,-0.0031222734
1026,0.018399272
1027,0.008777212
1028,0.01028471
1029,0.03993757
1030,0.035119973
1031,0.012821164
1032,-0.010096661
1033,0.010670616
1034,0.023310853
1035,0.022916725
1036,-0.0035363934
1037,0.006755618
1038,0.016013475
1039,0.0021802958
1040,-0.0021750652
1041,-0.020580586
1042,-0.017962212
1043,-0.033549204
1044,-0.032006126
1045,-0.04327239
1046,-0.06252615
1047,-0.04032845
1048,-0.039664116
1049,-0.049643148
1050,-0.039040413
1051,-0.031844117
1052,-0.005861133
1053,-0.0010617385
1054,-0.0062727476
1055,-0.0073160273
1056,-0.014041019
1057,-0.033440888
1058,-0.034830745
1059,-0.065445445
1060,-0.06673276
1061,-0.026529655
1062,-0.013276515
1063,-0.006079016
1064,-0.024807746
1065,-0.011711282
1066,0.03700607
1067,0.058080494
1068,0.09836816
1069,0.073368594
1070,0.067861274
1071,0.06705165
1072,0.07494481
1073,0.055614732
1074,0.05027228
1075,0.08032109
1076,0.07900135
1077,0.09291387
1078,0.0910452
1079,0.07745478
1080,0.07949084
1081,0.061781432
1082,0.070635475
1083,0.0638343
1084,0.050143067
1085,0.044377223
1086,0.030895889
1087,0.00841802
1088,0.005582949
1089,-0.005201358
1090,-0.018388467
1091,-0.01902984
1092,-0.008691159
1093,-0.017834932
1094,-0.008559654
1095,-0.017570496
1096,-0.026899926
1097,-0.0055802255
1098,-0.0033730012
1099,-0.0017941114
1100,-1.47121045e-05
1101,-0.00022380892
1102,-0.030159593
1103,-0.036558874
1104,-0.041882455
1105,-0.04661755
1106,-0.043547746
1107,-0.05459727
1108,-0.03736968
1109,-0.032250017
1110,-0.03452759
1111,-0.023556627
1112,-0.0048574195
1113,-0.019685246
1114,-0.049256243
1115,-0.046531476
1116,-0.03528013
1117,-0.023348244
1118,-0.051194917
1119,-0.045921087
1120,-0.025340617
1121,-0.041054707
1122,-0.037125483
1123,-0.021640377
1124,-0.027469635
1125,-0.025402766
1126,-0.02252757
1127,-0.04566834
1128,-0.040403306
1129,-0.024129478
1130,-0.019619443
1131,-0.041944653
1132,-0.036301836
1133,-0.055442095
1134,-0.07400793
1135,-0.066818826
1136,-0.053222694
1137,-0.105080575
1138,-0.14649926
1139,-0.14760111
1140,-0.1228194
1141,-0.10805694
1142,-0.105881475
1143,-0.11262188
1144,-0.117979795
1145,-0.10556112
1146,-0.13740483
1147,-0.1277544
1148,-0.07765099
1149,-0.059476815
1150,-0.08677698
1151,-0.10849973
1152,-0.087193124
1153,-0.07437063
1154,-0.052675307
1155,-0.041325435
1156,-0.09163365
1157,-0.10919807
1158,-0.080475755
1159,-0.08205384
1160,-0.068662025
1161,-0.11917161
1162,-0.1022179
1163,-0.12953283
1164,-0.119675554
1165,-0.09969714
1166,-0.14135747
1167,-0.16154379
1168,-0.15965138
1169,-0.15824965
1170,-0.1824377
1171,-0.18265188
1172,-0.14846157
1173,-0.14283079
1174,-0.15805288
1175,-0.1699015
1176,-0.17381401
1177,-0.10959371
1178,-0.088233896
1179,-0.015899966
1180,-0.06912943
1181,-0.034533054
1182,-0.011168706
1183,-0.029664595
1184,-0.04252064
1185,-0.026399411
1186,0.08597858
1187,0.13843112
1188,0.11405698
1189,0.114268795
1190,0.114283495
1191,0.0013260772
1192,0.0046800724
1193,0.02238021
1194,0.036807403
1195,0.05200593
1196,0.031817056
1197,0.0012146397
1198,0.00046933908
1199,-0.027798977
1200,-0.04899817
1201,-0.0025750105
1202,-0.036291867
1203,-0.043256592
1204,-0.05174835
1205,-0.06519153
1206,-0.110376194
1207,-0.11813716
1208,-0.14377749
1209,-0.15778959
1210,-0.16617303
1211,-0.18212025
1212,-0.15611626
1213,-0.14995714
1214,-0.15438288
1215,-0.13991225
1216,-0.12987465
1217,-0.123254694
1218,-0.11169058
1219,-0.11857409
