,Predicted R_t
143,-0.08071714
144,-0.106131576
145,-0.11447185
146,-0.09034868
147,-0.081711024
148,-0.12810665
149,-0.14121208
150,-0.15931256
151,-0.124329336
152,-0.112677485
153,-0.14668724
154,-0.102147594
155,-0.101426564
156,-0.11978919
157,-0.06544964
158,-0.08616045
159,-0.10328028
160,-0.09341355
161,-0.100758195
162,-0.099688694
163,-0.16919883
164,-0.18177006
165,-0.15705487
166,-0.11717393
167,-0.11274649
168,-0.13224828
169,-0.12109358
170,-0.076489374
171,-0.06687877
172,-0.07112269
173,-0.114494205
174,-0.14580515
175,-0.12527287
176,-0.15884544
177,-0.14519435
178,-0.1893647
179,-0.1691285
180,-0.14582996
181,-0.1291809
182,-0.087717585
183,-0.058455884
184,-0.045686863
185,-0.023933506
186,-0.0032949545
187,0.03751892
188,0.023916598
189,-0.011785847
190,-0.006245161
191,0.012144871
192,0.011521406
193,0.015470198
194,0.04423916
195,0.10770702
196,0.14140108
197,0.19087197
198,0.16671889
199,0.16453825
200,0.18764456
201,0.19305596
202,0.1274988
203,0.101747006
204,0.066237435
205,0.044580113
206,0.056341756
207,0.050488625
208,0.044569284
209,0.08247157
210,0.08006485
211,0.08636181
212,0.08264128
213,0.0956945
214,0.117812686
215,0.12986486
216,0.11007247
217,0.022335198
218,0.021386202
219,-0.0024048365
220,0.018144608
221,0.014377513
222,0.023060288
223,0.028332813
224,0.027439766
225,0.025697753
226,0.02212719
227,0.025788259
228,0.03698771
229,0.03152327
230,0.018957874
231,0.0094284965
232,0.023439458
233,0.03311117
234,0.032878898
235,0.017751075
236,0.0086588785
237,0.02726775
238,0.061970238
239,0.07317203
240,0.06640835
241,0.06599948
242,0.11799255
243,0.1283411
244,0.12801042
245,0.13741176
246,0.15510532
247,0.069339365
248,0.050603148
249,0.06968127
250,0.066220835
251,0.059667762
252,0.06810148
253,0.05566158
254,0.02241109
255,0.015417161
256,0.017834501
257,0.015280903
258,0.023845246
259,0.031002123
260,0.037628587
261,0.03184668
262,-0.007442758
263,-0.027566325
264,-0.052016295
265,-0.041815054
266,-0.035950646
267,-0.049699664
268,-0.029563494
269,0.011289556
270,0.021109182
271,0.000678685
272,-0.017269677
273,-0.022533309
274,-0.024497123
275,-0.018365622
276,-0.007025409
277,0.029570978
278,0.018179763
279,0.017538395
280,-0.007225285
281,-0.015654337
282,-0.041756064
283,-0.024704175
284,-0.010865805
285,-0.0020815716
286,-0.0037349607
287,-0.0024889545
288,0.016830606
289,0.03118641
290,0.032876465
291,0.036566377
292,0.022897074
293,0.020674948
294,0.045915544
295,0.03925035
296,0.04356382
297,0.0039617373
298,0.0032371224
299,-0.0050555845
300,-0.017488377
301,0.006805503
302,0.0136568695
303,0.027143646
304,0.03715361
305,0.026433602
306,0.015671836
307,0.031109134
308,0.037611224
309,0.051940154
310,0.031885196
311,0.034389887
312,0.025482358
313,0.016048262
314,0.016012812
315,0.017229963
316,0.0065869647
317,0.0016941777
318,0.022672331
319,0.036603443
320,0.03437458
321,0.046845775
322,0.053262196
323,0.04897804
324,0.038156778
325,0.042058535
326,0.02874206
327,0.02989055
328,0.0066054417
329,0.010798412
330,0.010863569
331,-0.001647525
332,0.008803235
333,0.01075091
334,-0.00088452036
335,-0.001238496
336,-0.0050565857
337,-0.0030338825
338,0.016187085
339,0.014169166
340,0.009893156
341,0.014106438
342,-0.004395096
343,-0.03267058
344,-0.015062599
345,-0.026314992
346,-0.032137007
347,-0.028764132
348,-0.029421113
349,-0.0026747906
350,0.0030033647
351,-0.003996561
352,0.008457401
353,0.01201956
354,0.023730185
355,0.013294647
356,0.010945038
357,0.03588586
358,0.04419716
359,0.030404385
360,0.037688993
361,0.021828484
362,0.02417266
363,0.028411005
364,0.020445924
365,0.02978357
366,0.035222434
367,0.049358275
368,0.05720278
369,0.05982408
370,0.055577442
371,0.038847063
372,0.049995083
373,0.040221706
374,0.050739925
375,0.04597507
376,0.05341378
377,0.039346214
378,0.045653846
379,0.042927366
380,0.03932435
381,0.023408601
382,-0.0069107017
383,-0.017940529
384,-0.018533768
385,-0.013383136
386,-0.0143414615
387,-0.012675784
388,-0.04175649
389,-0.026889216
390,-0.048217304
391,-0.05429066
392,-0.0750181
393,-0.084115274
394,-0.06927864
395,-0.094713315
396,-0.091629274
397,-0.08635333
398,-0.06488791
399,-0.043423478
400,-0.03653184
401,-0.053995337
402,-0.060553312
403,-0.03202755
404,-0.021688761
405,-0.0047419905
406,-0.0012999894
407,0.04549151
408,0.045850098
409,0.054837894
410,0.07184065
411,0.054103293
412,0.04932965
413,0.029682256
414,0.060805805
415,0.08902435
416,0.072979875
417,0.049900383
418,0.07814664
419,0.0944357
420,0.064629145
421,0.052874893
422,0.033739254
423,0.025900584
424,0.0005200631
425,0.026369642
426,0.014159992
427,0.006642492
428,-0.004951555
429,-0.023039373
430,-0.044196524
431,-0.030673854
432,-0.033549268
433,-0.008561732
434,-0.011828304
435,-0.009816452
436,-0.020833828
437,-0.009312752
438,-0.01754688
439,-0.010100613
440,-0.01532239
441,-0.026060171
442,-0.022153193
443,-0.029650792
444,-0.037008345
445,-0.03743243
446,-0.020110099
447,-0.021972401
448,-0.018289406
449,0.0093542915
450,-0.012009279
451,0.0016079196
452,-0.0051650726
453,0.010008896
454,0.049448714
455,0.04271259
456,0.04724052
457,0.044616275
458,0.040657602
459,0.04603691
460,0.047438916
461,0.034826092
462,0.051105224
463,0.061375953
464,0.07749906
465,0.071724005
466,0.09591821
467,0.1320906
468,0.12027785
469,0.11860112
470,0.14413185
471,0.12245156
472,0.10071135
473,0.10526814
474,0.11983677
475,0.09825165
476,0.08316796
477,0.0985767
478,0.09366259
479,0.103538215
480,0.104800455
481,0.08490635
482,0.10712307
483,0.095774755
484,0.08750553
485,0.062182028
486,0.073593915
487,0.06502854
488,0.083482124
489,0.084060274
490,0.073069654
491,0.060757
492,0.084339306
493,0.10861725
494,0.12956803
495,0.11824805
496,0.10098331
497,0.108807996
498,0.12778863
499,0.12579218
500,0.12588538
501,0.10915095
502,0.030045295
503,0.014764719
504,0.034715116
505,0.036638115
506,0.04785738
507,0.044098284
508,0.04511496
509,0.062285185
510,0.07329704
511,0.06919124
512,0.035673227
513,0.03380623
514,0.021924006
515,-6.061886e-05
516,-0.0038508992
517,0.0007737316
518,0.015328012
519,0.0057790964
520,-0.0100239
521,-0.02350352
522,-0.0033802805
523,0.044545326
524,0.08655803
525,0.12771836
526,0.09390951
527,0.09077978
528,0.09571353
529,0.08163355
530,0.09217979
531,0.059525054
532,0.028863577
533,0.0702357
534,0.07856531
535,0.060545348
536,0.06583204
537,0.07144148
538,0.092390575
539,0.08794236
540,0.0803909
541,0.08560259
542,0.10386106
543,0.10044468
544,0.10657334
545,0.09670254
546,0.05526362
547,0.058908384
548,0.05082856
549,0.042413168
550,0.0425751
551,0.03298396
552,-0.0020949184
553,0.017666012
554,0.03408153
555,0.022937601
556,0.010396595
557,0.01713941
558,0.01625401
559,0.026205502
560,0.03668497
561,0.022360504
562,0.021925403
563,0.00156894
564,-0.018659608
565,-0.031350978
566,-0.036979463
567,-0.07504675
568,-0.06661793
569,-0.03429916
570,-0.045067534
571,-0.056395017
572,-0.045862526
573,-0.03224861
574,-0.04315134
575,-0.036879655
576,-0.07451956
577,-0.056897067
578,-0.04155465
579,-0.038217265
580,-0.033454116
581,-0.04679902
582,-0.03389542
583,-0.04750225
584,-0.03189118
585,-0.021178376
586,0.0009873831
587,0.014026984
588,0.028558275
589,0.05293262
590,0.037547335
591,0.017180458
592,-0.017591462
593,-0.014601125
594,0.012167665
595,0.020652758
596,0.035759047
597,0.04149374
598,0.048197992
599,0.0122375265
600,-0.015641171
601,-0.013505605
602,-0.02740981
603,-0.015090969
604,-0.024791576
605,-0.025523484
606,-0.03250194
607,-0.014792244
608,-0.01499091
609,0.002566651
610,0.0025876767
611,-0.006627968
612,-0.011641056
613,0.013023756
614,0.035671383
615,0.04978179
616,0.013637669
617,0.016733022
618,-0.00067842286
619,0.004917546
620,0.009543614
621,0.03683434
622,0.06034162
623,0.05123682
624,0.059292268
625,0.037639074
626,0.040104594
627,0.044329338
628,-0.001750777
629,-0.0024938607
630,-0.012078551
631,-0.02677466
632,-0.041675165
633,-0.01647454
634,0.0064249905
635,0.0002366784
636,-0.008015203
637,0.001747393
638,0.010838431
639,0.0014790008
640,0.007809912
641,0.016321884
642,0.010293832
643,0.00953027
644,0.0044037146
645,0.024128707
646,0.020531
647,0.013827858
648,-0.015458542
649,-0.010603144
650,0.0013535987
651,0.010889152
652,-0.003680496
653,-0.023180492
654,-0.0035865852
655,7.3923264e-05
656,-0.015780311
657,0.001783011
658,0.006154369
659,-0.00877851
660,-0.014023996
661,-0.024972307
662,-0.0129993735
663,-0.018362608
664,-0.015280419
665,-0.019568007
666,0.0032267538
667,0.0045477515
668,-0.025016747
669,-0.017927807
670,0.011022778
671,0.02424516
672,0.01580654
673,0.02895844
674,0.045045543
675,0.049158115
676,0.05049866
677,0.045017906
678,0.044344008
679,0.019994555
680,0.0011135358
681,0.025430117
682,-0.00894875
683,0.0030546775
684,-0.004873322
685,0.014240279
686,0.010363726
687,-0.0153943235
688,-0.031310588
689,-0.03272667
690,-0.025882825
691,-0.017913133
692,-0.03306795
693,-0.03179881
694,-0.061065927
695,-0.03358804
696,-0.068238355
697,-0.08259475
698,-0.07638109
699,-0.06905034
700,-0.07981898
701,-0.054098055
702,-0.07792848
703,-0.08769474
704,-0.06282118
705,-0.084602475
706,-0.065049306
707,-0.0850197
708,-0.060905866
709,-0.032076962
710,-0.014318428
711,-0.01615607
712,-0.0040576668
713,-0.012424824
714,-0.013679146
715,-0.008953172
716,0.005113365
717,0.009998528
718,0.0067166653
719,0.02400724
720,0.01821604
721,0.038250424
722,0.03696951
723,0.034335352
724,0.035927482
725,0.027422689
726,0.025576586
727,0.041120492
728,0.0461768
729,0.053603433
730,0.028908635
731,0.017944809
732,-0.02248346
733,-0.036833078
734,-0.00912831
735,-0.011037194
736,-0.014268518
737,-0.008503037
738,-0.033144724
739,-0.04944342
740,-0.053801756
741,-0.043397885
742,-0.04384738
743,-0.024903849
744,-0.013843066
745,-0.019665414
746,-0.018305352
747,0.006745221
748,-0.021801373
749,-0.05697172
750,-0.055089097
751,-0.04869257
752,-0.045503456
753,-0.06707744
754,-0.028421413
755,-0.02310179
756,-0.047347747
757,-0.03254195
758,-0.027553901
759,-0.020911345
760,-0.013091079
761,-0.016090892
762,-0.025237601
763,-0.04166697
764,-0.038050126
765,-0.02580491
766,-0.031645972
767,-0.06433711
768,-0.04974007
769,-0.040035553
770,-0.0135335
771,0.0035340516
772,0.01955731
773,-0.012670546
774,0.005396379
775,0.023499046
776,0.013847069
777,0.015789146
778,0.021716412
779,0.0038508
780,-0.0020521986
781,0.005238438
782,0.014308675
783,0.012584935
784,0.010242797
785,0.0046403357
786,-0.0021342388
787,-0.0028700843
788,-0.00565003
789,0.0007736967
790,-0.011907666
791,-0.024106795
792,-0.028704055
793,-0.021547236
794,-0.031426057
795,-0.03958385
796,-0.046930175
797,-0.05659952
798,-0.062253654
799,-0.101655744
800,-0.09285238
801,-0.08612105
802,-0.08159349
803,-0.07446068
804,-0.09075652
805,-0.06789199
806,-0.07099443
807,-0.04138739
808,-0.07263088
809,-0.0675486
810,-0.066042334
811,-0.043718
812,-0.10847348
813,-0.053873796
814,-0.08365473
815,-0.104892604
816,-0.08172806
817,-0.09311228
818,-0.110555336
819,-0.09061284
820,-0.070580535
821,-0.059364736
822,-0.03519151
823,-0.042658184
824,-0.026883826
825,-0.028202858
826,-0.024814276
827,-0.06942017
828,-0.07075109
829,-0.056492485
830,-0.05658684
831,-0.047770277
832,0.01357393
833,0.033013236
834,0.032876898
835,0.023887917
836,0.039521012
837,0.06845642
838,0.07182273
839,0.06728252
840,0.088424705
841,0.0891044
842,0.052603472
843,0.031069824
844,0.059835557
845,0.058341473
846,0.07114293
847,0.075956084
848,0.08011752
849,0.08726876
850,0.061366245
851,0.061410107
852,0.061552927
853,0.06289866
854,0.035309657
855,0.040103827
856,0.034117892
857,0.028562175
858,0.03215029
859,0.020207265
860,0.029109104
861,0.031114753
862,0.048845347
863,0.035108753
864,0.028791185
865,0.023947312
866,0.010769495
867,-0.017353917
868,-0.025681153
869,-0.0017079338
870,0.0031772163
871,0.0048332456
872,0.010540949
